Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
2024-11-23,07:47:17,PNQ7104852,Cancelled by Customer,CID4661217,Bike,Aundh,Lohegaon,,,1.0,Got another ride,,,,,,,,,
2024-05-05,09:47:06,PNQ3522215,Cancelled by Driver,CID3069191,Go Mini,Katraj,Wagholi,,,,,1.0,Customer not reachable,,,,,,,
2024-12-12,18:34:05,PNQ8931986,Cancelled by Driver,CID5116624,Auto,Lohegaon,Shivajinagar,,,,,1.0,Personal issue,,,,,,,
2024-10-29,12:01:05,PNQ8615898,Cancelled by Customer,CID4316248,Bike,Koregaon Park,Wagholi,,,1.0,Wait time too long,,,,,,,,,
2024-04-21,09:38:01,PNQ1860109,Completed,CID5167757,Go Sedan,Pune Station,Airport Road,10.9,36.2,,,,,,,235.0,6.38,4.1,3.4,UPI
2024-10-14,08:41:44,PNQ2416730,Completed,CID7336625,Go Mini,Kothrud,Balewadi,10.1,26.2,,,,,,,248.0,8.45,4.6,4.3,Cash
2024-10-06,12:28:37,PNQ6776103,Cancelled by Driver,CID4367687,Prime SUV,Lohegaon,Wakad,,,,,1.0,Traffic too heavy,,,,,,,
2024-05-22,18:00:48,PNQ7422554,Cancelled by Customer,CID5890270,Auto,Swargate,Katraj,,,1.0,Driver was too far,,,,,,,,,
2024-03-22,17:21:17,PNQ3715486,Cancelled by Customer,CID6416692,Prime Sedan,Aundh,Airport Road,,,1.0,Driver was too far,,,,,,,,,
2024-03-20,08:48:21,PNQ7538789,Completed,CID3895267,Auto,Vishrantwadi,Kothrud,5.1,5.9,,,,,,,287.0,12.44,4.6,4.2,Debit Card
2024-02-22,07:06:22,PNQ7726873,Completed,CID9960569,Prime SUV,Undri,Kharadi,2.7,8.5,,,,,,,314.0,9.58,4.4,4.4,UPI
